channel_name,num_samples,num_spikes,max,max_time_bin,min,min_time_bin,sigma
12a,2868,4173,0.6043613707165109,5,0.30218068535825543,4,0.01998090262738869
12b,1123,1239,0.7037933817594835,3,0.21388216303470542,5,0.026304851180740853
12c,80,80,0.7625,3,0.1625,5,0.06262695769335708
13a,6610,8830,0.5822197055492638,4,0.3986409966024915,5,0.0111001357063146
13b,648,998,0.7224448897795591,3,0.13326653306613226,5,0.03458206839229671
13c,458,628,0.8694267515923567,5,0.1624203821656051,4,0.04155987799756897
13d,288,342,0.5935672514619883,3,0.3654970760233918,5,0.03199344911942713
13e,112,112,0.6517857142857143,0,0.36607142857142855,1,0.04860339707490192
14a,712,863,0.6129779837775203,3,0.23754345307068367,5,0.02848790508079794
14b,655,760,0.6302631578947369,3,0.2394736842105263,5,0.02846648668480596
14c,208,214,0.8457943925233645,5,0.3878504672897196,3,0.04301712092569289
14d,68,73,0.6712328767123288,2,0.3150684931506849,5,0.0659974989803652
16a,1119,1600,0.56375,3,0.429375,5,0.017675373726040684
16b,184,234,0.6324786324786325,3,0.36324786324786323,5,0.04009329055942922
16c,92,102,0.6666666666666666,5,0.3235294117647059,6,0.05646940400454722
17a,2704,2743,0.7375136711629603,5,0.3940940576011666,4,0.02007142937563905
17b,371,432,0.6111111111111112,3,0.38657407407407407,5,0.028432172340814767
17c,210,394,0.6192893401015228,7,0.38578680203045684,3,0.03839881869726854
17d,76,88,0.7159090909090909,7,0.32954545454545453,2,0.05910315070028833
21a,2084,3114,0.7736030828516378,3,0.09794476557482337,5,0.027939663579838635
21b,63,241,0.921161825726141,3,0.17427385892116182,4,0.08341332584115708
21c,58,121,0.8760330578512396,2,0.03305785123966942,4,0.08742740679430756
21d,212,246,0.6666666666666666,3,0.3252032520325203,5,0.04184571720791206
21e,132,138,0.782608695652174,5,0.13043478260869565,4,0.05605636636187313
22a,1803,2860,0.6762237762237763,5,0.27867132867132866,4,0.022643885890699215
22b,1649,2413,0.5528387898881061,3,0.45835060091172813,6,0.015075332476036292
23a,154,361,0.6565096952908587,1,0.33518005540166207,5,0.05015366092619549
23b,568,1130,0.7389380530973452,3,0.035398230088495575,5,0.03886162506798362
23c,68,140,0.7357142857142858,2,0.12857142857142856,4,0.07591123214233783
23d,76,84,0.7380952380952381,3,0.14285714285714285,5,0.06299291163640508
25a,3699,4898,0.6102490812576562,5,0.4712127398938342,2,0.011519714898859957
25b,1157,2190,0.9031963470319635,5,0.11689497716894977,4,0.036865114793580664
25c,1328,1507,0.5719973457199734,4,0.3788984737889847,5,0.018711523588416875
26a,3192,5308,0.6552373775433308,4,0.22927656367746796,5,0.026622440191931863
26b,688,1121,0.8956289027653881,5,0.13826940231935772,4,0.04556358505625568
26c,249,360,0.6777777777777778,2,0.19166666666666668,5,0.0471268432388623
26d,83,207,0.7439613526570048,3,0.18840579710144928,5,0.07804511618924799
27a,5131,6080,0.5651315789473684,3,0.4105263157894737,4,0.010302792343251212
27b,2650,3056,0.6734293193717278,5,0.40674083769633507,3,0.016171024735034355
27c,1118,1177,0.697536108751062,5,0.43075615972812237,3,0.02198268682829448
27d,978,1331,0.6356123215627348,3,0.22238918106686703,5,0.02693727303648328
28a,3789,5535,0.6354110207768744,4,0.26323396567299007,5,0.02346902807231453
28b,2772,3152,0.5843908629441624,5,0.46890862944162437,4,0.012587235913647936
28c,730,1149,0.9364664926022629,5,0.1679721496953873,4,0.04069673989312224
31a,7027,11785,0.6313109885447603,4,0.30046669495120915,5,0.014102110559222714
31b,1363,2909,0.949467170849089,5,0.059126847713991064,4,0.03669246204197388
31c,255,273,0.706959706959707,4,0.41025641025641024,3,0.034889133406660174
31d,311,313,0.8083067092651757,5,0.3865814696485623,1,0.03394506289362561
32a,4479,5544,0.6433982683982684,4,0.3345959595959596,5,0.014397045445950364
32b,6048,9649,0.6199606176805886,5,0.4383873976577884,4,0.011603607789111181
32c,952,973,0.5621788283658787,4,0.4501541623843782,4,0.01666790166280673
33a,954,1244,0.8995176848874598,5,0.09244372990353698,4,0.03544055111792537
33b,601,969,0.7554179566563467,3,0.1393188854489164,5,0.03576786426747573
33c,59,61,0.7868852459016393,3,0.22950819672131148,5,0.06985270716827587
33d,73,73,0.684931506849315,2,0.2876712328767123,0,0.0631321856931303
35a,6150,9247,0.6435600735373634,4,0.33956959013734184,5,0.015593295310196424
35b,191,222,0.7522522522522522,3,0.06756756756756757,5,0.049844919014192385
35c,28,28,0.8214285714285714,1,0.03571428571428571,5,0.09924310124546562
35d,96,118,0.7966101694915254,2,0.09322033898305085,5,0.0643564848828665
35e,107,130,0.7384615384615385,2,0.07692307692307693,5,0.06088223863594344
35f,73,73,0.6575342465753424,0,0.1780821917808219,5,0.05860075600629112
35g,88,88,0.6704545454545454,0,0.3522727272727273,7,0.05199697970484584
36a,8008,13565,0.5862145226686325,4,0.4204201990416513,5,0.009337542052709806
36b,4742,8730,0.6775486827033219,4,0.3152348224513173,5,0.02128605695633786
36c,2337,4098,0.5480722303562714,5,0.4109321620302587,4,0.01329027295777408
36d,227,234,0.7606837606837606,4,0.23504273504273504,5,0.04227313214470113
37a,5073,6688,0.68122009569378,4,0.3092105263157895,5,0.016184437737288664
37b,5367,9568,0.6129807692307693,4,0.3554556856187291,5,0.013760126413828237
37c,824,1538,0.9694408322496749,5,0.026657997399219768,4,0.041803805322167965
37d,908,1073,0.6029822926374651,4,0.3401677539608574,5,0.021874342119626536
37e,65,65,0.8615384615384616,4,0.1076923076923077,5,0.06782595798750708
38a,6602,9137,0.6023859034694101,4,0.3616066542628872,5,0.0119558434099096
41a,1006,1260,0.6865079365079365,4,0.10555555555555556,5,0.033377748569990484
41b,260,266,0.6729323308270677,4,0.40601503759398494,2,0.033210625854952484
41c,22,22,0.7727272727272727,2,0.18181818181818182,5,0.1082161467008442
41d,114,114,0.6491228070175439,4,0.3684210526315789,7,0.047281019295857006
42a,8822,15907,0.5167536304771484,3,0.479663041428302,5,0.006220453376755371
42b,191,203,0.645320197044335,4,0.22660098522167488,5,0.042134559213466365
42c,108,124,0.6532258064516129,1,0.33064516129032256,1,0.05066401785638894
43a,3805,4687,0.6714316193727331,4,0.22146362278643056,5,0.021040746352520033
43b,919,1006,0.5536779324055666,4,0.44433399602385687,7,0.01716363639665397
43c,506,568,0.7077464788732394,3,0.32922535211267606,5,0.02880451130281375
45a,646,1132,0.9328621908127208,5,0.15724381625441697,4,0.04500977225337452
45b,402,487,0.7782340862422998,4,0.41683778234086244,5,0.03276863521974376
45c,102,107,0.7009345794392523,4,0.24299065420560748,5,0.05789260949561473
46a,4073,5468,0.5830285296269203,4,0.38734455010972935,5,0.013330618232304433
46b,2382,2762,0.5702389572773353,4,0.4333816075307748,5,0.013572497252552915
47a,2541,3071,0.7258222077499186,4,0.17714099641810485,5,0.02498220580492229
48a,300,309,0.5954692556634305,3,0.36245954692556637,4,0.03299399090726424
48b,230,236,0.711864406779661,5,0.3898305084745763,4,0.033969278511966086
48c,231,231,0.6060606060606061,2,0.4069264069264069,1,0.033248892380896206
48d,65,66,0.9090909090909091,5,0.3181818181818182,3,0.0678388917603446
48e,40,40,0.95,5,0.225,6,0.08269241551373435
51a,6507,8924,0.6044374719856567,4,0.3619453160017929,5,0.012690408365046002
51b,114,119,0.6638655462184874,2,0.36134453781512604,4,0.04763235068824192
53a,303,478,0.5836820083682008,0,0.401673640167364,0,0.02996158569823041
53b,273,315,0.5777777777777777,3,0.3904761904761905,2,0.031032304121908556
53c,151,163,0.6380368098159509,6,0.38650306748466257,0,0.04215601338126865
53d,114,120,0.6583333333333333,2,0.25833333333333336,5,0.05104282922783178
54a,3140,7687,0.7053466892155588,4,0.09509561597502277,5,0.030717823911471116
54b,1940,2050,0.6526829268292683,4,0.19463414634146342,5,0.022006113755999052
54c,873,1231,0.5710804224207962,3,0.4394800974817222,5,0.019355267377096665
54d,281,357,0.6050420168067226,3,0.4117647058823529,4,0.03337192586121189
56a,3472,6695,0.6964899178491412,4,0.19551904406273338,5,0.02706548918850546
56b,2731,2961,0.5339412360688957,2,0.47011144883485306,7,0.010540111561130354
58a,85,100,0.66,3,0.32,4,0.05764309203156924
61a,4417,8017,0.7283273044779843,4,0.18797555195210178,5,0.024268077574957005
61b,1812,2148,0.590316573556797,4,0.4483240223463687,2,0.014466308500288795
62a,3910,4582,0.543212570929725,5,0.44914884329986904,3,0.010497983224900165
62b,2193,2308,0.5515597920277296,4,0.36871750433275563,5,0.014083979555540098
63a,1601,1785,0.6492997198879552,4,0.16694677871148458,5,0.02775100117701962
63b,1627,1804,0.664079822616408,4,0.19789356984478937,5,0.025733665609768662
63c,1133,1435,0.5463414634146342,2,0.4466898954703833,1,0.016528797424078114
63d,577,605,0.631404958677686,3,0.343801652892562,4,0.02397871752792306
63e,41,47,0.723404255319149,6,0.2978723404255319,0,0.07964091852071375
64a,1310,1461,0.7200547570157426,4,0.16084873374401096,5,0.026329207192876687
65a,691,796,0.6407035175879398,4,0.20979899497487436,5,0.032099046068838503
65b,242,315,0.7333333333333333,5,0.28253968253968254,4,0.04025631311108284
65c,228,233,0.6566523605150214,4,0.34334763948497854,5,0.0370883720694396
68a,345,388,0.5824742268041238,4,0.41494845360824745,2,0.02936940207753253
68b,315,360,0.5777777777777777,6,0.41388888888888886,0,0.03296737406437791
71a,8653,18485,0.5717067892886124,4,0.40535569380578845,5,0.008517240322543975
71b,3956,7557,0.6370252745798597,5,0.20444620881302103,4,0.018242306506269436
71c,2337,2912,0.6346153846153846,3,0.44059065934065933,5,0.014100298586535805
72a,5716,11633,0.7160663629330354,4,0.21800051577409094,5,0.020391593119201443
72b,383,681,0.6916299559471366,3,0.3245227606461087,4,0.0343398328932345
72c,366,443,0.6975169300225733,4,0.4153498871331828,1,0.032269465288363886
72d,130,132,0.6893939393939394,2,0.23484848484848486,5,0.048352140817144305
72e,37,39,0.7435897435897436,7,0.23076923076923078,3,0.08572803762125422
73a,1546,3329,0.8672273956142986,5,0.17092219885851606,4,0.0302602577098095
73b,837,1269,0.7486209613869188,5,0.24980299448384555,4,0.02933399777576001
73c,765,802,0.7693266832917706,5,0.22942643391521197,4,0.02985078841633303
74a,1170,1975,0.610126582278481,2,0.3331645569620253,3,0.020652050027182976
74b,381,483,0.5962732919254659,0,0.3064182194616977,5,0.03130562408953654
74c,76,85,0.7529411764705882,5,0.32941176470588235,4,0.0647145923321354
74d,107,109,0.6697247706422018,7,0.27522935779816515,5,0.052392619779928165
75a,4310,10187,0.6586826347305389,4,0.16049867478158436,5,0.02524256274291668
76a,1475,2444,0.602291325695581,3,0.42757774140752863,5,0.016574847712531093
76b,794,826,0.5569007263922519,0,0.40314769975786924,5,0.019189145338746817
76c,496,527,0.5901328273244781,5,0.42125237191650855,3,0.0246004630493525
77a,236,245,0.6653061224489796,3,0.2,5,0.039787763541557275
82a,3219,5543,0.7306512718744362,5,0.36676889770882193,4,0.02411871149156725
82b,1617,2842,0.6277269528501056,3,0.19528501055594652,5,0.027886833645728505
82c,644,729,0.6872427983539094,3,0.20713305898491083,5,0.029180259136612645
83a,6618,17646,0.6459254221919982,4,0.24730817182364276,5,0.01958646343961518
83b,1058,1300,0.6530769230769231,4,0.2123076923076923,5,0.02992832956345706
83c,639,784,0.6900510204081632,3,0.05612244897959184,5,0.03792725268088306
85a,533,859,0.689173457508731,4,0.13387660069848661,5,0.04018390137199762
85b,397,468,0.6623931623931624,3,0.22008547008547008,5,0.03627885721682554
86a,1461,3186,0.9136848713119899,5,0.17294413057124922,4,0.03783893057250724
86b,1332,1684,0.5623515439429929,4,0.4524940617577197,4,0.016203864458649835
86c,526,705,0.7035460992907802,5,0.4269503546099291,4,0.027015984318869733
86d,149,151,0.7284768211920529,5,0.32450331125827814,3,0.04654825291008956
87a,3872,9120,0.7161184210526316,4,0.11348684210526316,5,0.02780056754434067
87b,3512,3797,0.7447985251514353,5,0.42349223070845404,3,0.019283382406423178
87c,535,595,0.5915966386554622,3,0.32100840336134456,5,0.026294817393321273
